ID;Name;Sex;Age;Height;Weight;Team;NOC;Games;Year;Season;City;Sport;Event;Medal;Host country
32699;Konrad Enke;M;26;171;73;Allemagne;GER;1960 Summer;1960;Summer;Roma;Swimming;Swimming Men's 200 metres Breaststroke;NA;Italie
32700;Karin Enke-Kania (-Busch-, -Richter);F;18;180;72;Allemagne de l'Ouest;GDR;1980 Winter;1980;Winter;Lake Placid;Speed Skating;Speed Skating Women's 500 metres;Gold;États-Unis
32700;Karin Enke-Kania (-Busch-, -Richter);F;18;180;72;Allemagne de l'Ouest;GDR;1980 Winter;1980;Winter;Lake Placid;Speed Skating;Speed Skating Women's 1,000 metres;NA;États-Unis
32700;Karin Enke-Kania (-Busch-, -Richter);F;22;180;72;Allemagne de l'Ouest;GDR;1984 Winter;1984;Winter;Sarajevo;Speed Skating;Speed Skating Women's 500 metres;Silver;Yougoslavie
32700;Karin Enke-Kania (-Busch-, -Richter);F;22;180;72;Allemagne de l'Ouest;GDR;1984 Winter;1984;Winter;Sarajevo;Speed Skating;Speed Skating Women's 1,000 metres;Gold;Yougoslavie
32700;Karin Enke-Kania (-Busch-, -Richter);F;22;180;72;Allemagne de l'Ouest;GDR;1984 Winter;1984;Winter;Sarajevo;Speed Skating;Speed Skating Women's 1,500 metres;Gold;Yougoslavie
32700;Karin Enke-Kania (-Busch-, -Richter);F;22;180;72;Allemagne de l'Ouest;GDR;1984 Winter;1984;Winter;Sarajevo;Speed Skating;Speed Skating Women's 3,000 metres;Silver;Yougoslavie
32700;Karin Enke-Kania (-Busch-, -Richter);F;26;180;72;Allemagne de l'Ouest;GDR;1988 Winter;1988;Winter;Calgary;Speed Skating;Speed Skating Women's 500 metres;Bronze;Canada
32700;Karin Enke-Kania (-Busch-, -Richter);F;26;180;72;Allemagne de l'Ouest;GDR;1988 Winter;1988;Winter;Calgary;Speed Skating;Speed Skating Women's 1,000 metres;Silver;Canada
32700;Karin Enke-Kania (-Busch-, -Richter);F;26;180;72;Allemagne de l'Ouest;GDR;1988 Winter;1988;Winter;Calgary;Speed Skating;Speed Skating Women's 1,500 metres;Silver;Canada
32700;Karin Enke-Kania (-Busch-, -Richter);F;26;180;72;Allemagne de l'Ouest;GDR;1988 Winter;1988;Winter;Calgary;Speed Skating;Speed Skating Women's 3,000 metres;NA;Canada
32701;Aris Enkelmann;M;24;182;69;Allemagne de l'Ouest;GDR;1988 Summer;1988;Summer;Seoul;Fencing;Fencing Men's Foil, Individual;NA;Corée du Sud
32701;Aris Enkelmann;M;24;182;69;Allemagne de l'Ouest;GDR;1988 Summer;1988;Summer;Seoul;Fencing;Fencing Men's Foil, Team;NA;Corée du Sud
32732;Fritz Enskat;M;21;175;72;Allemagne;GER;1960 Summer;1960;Summer;Roma;Diving;Diving Men's Platform;NA;Italie
32748;Ute Enzenauer;F;19;172;56;Allemagne de l'Est;FRG;1984 Summer;1984;Summer;Los Angeles;Cycling;Cycling Women's Road Race, Individual;NA;États-Unis
32752;Karl Enzler;M;26;NA;NA;Allemagne;GER;1952 Winter;1952;Winter;Oslo;Ice Hockey;Ice Hockey Men's Ice Hockey;NA;Norvège
32775;Margot Eppinger (-Bayer);F;20;178;62;Allemagne de l'Est;FRG;1972 Summer;1972;Summer;Munich;Athletics;Athletics Women's Pentathlon;NA;Allemagne de l'Ouest
32775;Margot Eppinger (-Bayer);F;24;178;62;Allemagne de l'Est;FRG;1976 Summer;1976;Summer;Montreal;Athletics;Athletics Women's Pentathlon;NA;Canada
32776;Irene Epple (-Waigel);F;18;165;60;Allemagne de l'Est;FRG;1976 Winter;1976;Winter;Innsbruck;Alpine Skiing;Alpine Skiing Women's Downhill;NA;Autriche
32776;Irene Epple (-Waigel);F;18;165;60;Allemagne de l'Est;FRG;1976 Winter;1976;Winter;Innsbruck;Alpine Skiing;Alpine Skiing Women's Giant Slalom;NA;Autriche
32776;Irene Epple (-Waigel);F;22;165;60;Allemagne de l'Est;FRG;1980 Winter;1980;Winter;Lake Placid;Alpine Skiing;Alpine Skiing Women's Downhill;NA;États-Unis
32776;Irene Epple (-Waigel);F;22;165;60;Allemagne de l'Est;FRG;1980 Winter;1980;Winter;Lake Placid;Alpine Skiing;Alpine Skiing Women's Giant Slalom;Silver;États-Unis
32776;Irene Epple (-Waigel);F;22;165;60;Allemagne de l'Est;FRG;1980 Winter;1980;Winter;Lake Placid;Alpine Skiing;Alpine Skiing Women's Slalom;NA;États-Unis
32776;Irene Epple (-Waigel);F;26;165;60;Allemagne de l'Est;FRG;1984 Winter;1984;Winter;Sarajevo;Alpine Skiing;Alpine Skiing Women's Downhill;NA;Yougoslavie
32776;Irene Epple (-Waigel);F;26;165;60;Allemagne de l'Est;FRG;1984 Winter;1984;Winter;Sarajevo;Alpine Skiing;Alpine Skiing Women's Giant Slalom;NA;Yougoslavie
32777;Maria Epple (-Beck);F;16;167;58;Allemagne de l'Est;FRG;1976 Winter;1976;Winter;Innsbruck;Alpine Skiing;Alpine Skiing Women's Downhill;NA;Autriche
